100	1	Opening (Melee)	Super Smash Bros. Melee	[SSBB]	https://www.youtube.com/watch?v=YB2hQicc13Q	2:17	
101	1	Stickerbrush Symphony	Donkey Kong Country 2: Diddy's Kong Quest	[SSBB]	https://www.youtube.com/watch?v=DcERxpiwjWg	3:53	
102	1	Rocket Run	Donkey Kong Country 3: Dixie Kong's Double Trouble	[COVER]	https://www.youtube.com/watch?v=NwCLcj_h8yE	3:11	
103	1	Unfinished Battle	Xenoblade Chronicles		https://www.youtube.com/watch?v=OZ3j12pF84o	3:03	
104	1	Indigo Plateau (GSC)	Pokémon Gold & Silver	[COVER]	https://www.youtube.com/watch?v=Kefmd9mt51I	3:23	
105	0	Kraid's Lair	Metroid	[SSBU]	https://www.youtube.com/watch?v=wtV9q7x5SsA	4:39	
106	0	Boss Battle Song 2	Super Smash Bros. Brawl		https://www.youtube.com/watch?v=utOa8ZMKwSA	3:24	
107	0	Endolphin Surge	Splatoon 2		https://www.youtube.com/watch?v=SpmEWZVMU_0	4:27	
108	1	Break Free (Lead the Way) (JP)	Super Mario Odyssey		https://www.youtube.com/watch?v=lKL3UHCAA2M	2:58	
109	1	Jogging ~ Countdown	Punch-Out!!	[SSB4]	https://www.youtube.com/watch?v=8EFD7HRnDdE	4:15	
110	0	Main Theme (Ultimate)	Super Smash Bros. Ultimate		https://www.youtube.com/watch?v=-70Tmxcf_2g	3:03	
111	1	Battlerock Galaxy	Super Mario Galaxy		https://www.youtube.com/watch?v=4M1ZwoRQDuo	3:20	
112	1	Ike's Theme	Fire Emblem: Radiant Dawn		https://www.youtube.com/watch?v=YZRvkk2DbC0	2:57	
113	0	Divine Beast Vah Medoh	The Legend of Zelda: Breath of the Wild		https://www.youtube.com/watch?v=-yYENVzvClk	4:49	
114	1	Tragic Decision	Xenoblade Chronicles		https://www.youtube.com/watch?v=Umfc69VlAF4	3:17	
115	1	Dark Pit's Theme	Kid Icarus: Uprising		https://www.youtube.com/watch?v=QG77HTdreh0	5:04	
116	0	Battle! Kanto Champion	Pokémon Red & Blue	[Let's Go]	https://www.youtube.com/watch?v=k2bWdLTEgl4	2:27	
117	0	Battlefield (Brawl)	Super Smash Bros. Brawl		https://www.youtube.com/watch?v=CYHc6o4ZtyE	3:04	
118	0	Frantic Fields	Donkey Kong Country: Tropical Freeze		https://www.youtube.com/watch?v=Qj8yAPrmads	4:49	
119	1	Mor Ardain	Xenoblade Chronicles 2		https://www.youtube.com/watch?v=9sKp2ZdBaYI	3:06	
120	1	Kass' Theme	The Legend of Zelda: Breath of the Wild	[COVER]	https://www.youtube.com/watch?v=mY_AhrCfK7g	3:38	
121	0	Torvus Bog	Metroid Prime 2: Echoes		https://www.youtube.com/watch?v=XX2KcYcSR64	8:37	
122	1	Lost in Thoughts All Alone	Fire Emblem Fates		https://www.youtube.com/watch?v=ENwFAmeWEYk	5:56	
123	1	Aquatic Ambience	Donkey Kong Country	[COVER]	https://www.youtube.com/watch?v=42ftrYXy3GA	4:06	
124	0	Upper Brinstar	Super Metroid	[AM2R]	https://www.youtube.com/watch?v=cYQNY8gIu_A	4:41	
125	1	Drifting Soul	Xenoblade Chronicles 2		https://www.youtube.com/watch?v=cvTb1VgABw8	5:34	
126	1	Menu (SF64)	Star Fox 64	[COVER]	https://www.youtube.com/watch?v=oJ_oyealecg	2:07	
